movie_title,imdb_score,title_year,actor_1_name,content_rating,duration,director_name,gross,genres,budget,aspect_ratio
Alpha and Omega 4: The Legend of the Saw Toothed Cave ,6,2014,Debi Derryberry,,45,Richard Rich,,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,7000000,
Big Hero 6 ,7.9,2014,Damon Wayans Jr.,PG,102,Don Hall,222487711,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,165000000,2.39
The Iron Giant ,8,1999,Vin Diesel,PG,90,Brad Bird,23159305,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,70000000,2.35
Madagascar: Escape 2 Africa ,6.7,2008,Bernie Mac,PG,89,Eric Darnell,179982968,Action|Adventure|Animation|Comedy|Family,150000000,1.85
Kung Fu Panda 2 ,7.3,2011,Angelina Jolie Pitt,PG,90,Jennifer Yuh Nelson,165230261,Action|Adventure|Animation|Comedy|Family,150000000,2.35
Kung Fu Panda 3 ,7.2,2016,J.K. Simmons,PG,95,Alessandro Carloni,143523463,Action|Adventure|Animation|Comedy|Family,145000000,2.35
Kung Fu Panda ,7.6,2008,Angelina Jolie Pitt,PG,92,Mark Osborne,215395021,Action|Adventure|Animation|Comedy|Family,130000000,2.35
Ice Age: Dawn of the Dinosaurs ,7,2009,Denis Leary,PG,94,Carlos Saldanha,196573705,Action|Adventure|Animation|Comedy|Family,90000000,1.85
Legend of Kung Fu Rabbit ,3.2,2011,Jon Heder,PG,89,Lijun Sun,,Action|Adventure|Animation|Comedy|Family,,
How to Train Your Dragon 2 ,7.9,2014,Gerard Butler,PG,102,Dean DeBlois,176997107,Action|Adventure|Animation|Comedy|Family|Fantasy,145000000,2.35
Puss in Boots ,6.7,2011,Salma Hayek,PG,90,Chris Miller,149234747,Action|Adventure|Animation|Comedy|Family|Fantasy,130000000,2.35
Ice Age: The Meltdown ,6.9,2006,Denis Leary,PG,115,Carlos Saldanha,195329763,Action|Adventure|Animation|Comedy|Family|Fantasy,80000000,1.85
The Lego Movie ,7.8,2014,Morgan Freeman,PG,100,Phil Lord,257756197,Action|Adventure|Animation|Comedy|Family|Fantasy,60000000,2.35
G-Force ,5.1,2009,Kelli Garner,PG,88,Hoyt Yeatman,119420252,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,150000000,2.35
TMNT ,6.3,2007,Chris Evans,PG,87,Kevin Munroe,54132596,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,34000000,2.35
Monsters vs. Aliens ,6.5,2009,Amy Poehler,PG,94,Rob Letterman,198332128,Action|Adventure|Animation|Comedy|Family|Sci-Fi,175000000,2.35
Mars Needs Moms ,5.4,2011,Elisabeth Harnois,PG,88,Simon Wells,21379315,Action|Adventure|Animation|Comedy|Family|Sci-Fi,150000000,2.35
Jimmy Neutron: Boy Genius ,6,2001,Martin Short,G,82,John A. Davis,80920948,Action|Adventure|Animation|Comedy|Family|Sci-Fi,30000000,1.85
The Princess and the Cobbler ,7.2,1993,Donald Pleasence,G,80,Richard Williams,669276,Action|Adventure|Animation|Comedy|Fantasy,28000000,2.35
Aqua Teen Hunger Force Colon Movie Film for Theaters ,6.9,2007,Tina Fey,R,86,Matt Maiellaro,5518918,Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,750000,1.85
Journey to Saturn ,5.7,2008,Iben Hjejle,Not Rated,90,Thorbjørn Christoffersen,,Action|Adventure|Animation|Comedy|Sci-Fi,,1.85
Star Wars: The Clone Wars             ,7.9,,Dee Bradley Baker,TV-PG,23,,,Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,,2.35
9 ,7.1,2009,Martin Landau,PG-13,79,Shane Acker,31743332,Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,30000000,1.85
The Incredibles ,8,2004,Holly Hunter,PG,115,Brad Bird,261437578,Action|Adventure|Animation|Family,92000000,2.35
Legend of the Guardians: The Owls of Ga'Hoole ,7,2010,Abbie Cornish,PG,101,Zack Snyder,55673333,Action|Adventure|Animation|Family|Fantasy,80000000,2.35
Yu-Gi-Oh! Duel Monsters             ,7,,Pablo Sevilla,,24,,,Action|Adventure|Animation|Family|Fantasy,,
Atlantis: The Lost Empire ,6.8,2001,Leonard Nimoy,PG,95,Gary Trousdale,84037039,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,120000000,2.35
Pokémon 3: The Movie ,5.6,2000,Veronica Taylor,G,93,Kunihiko Yuyama,,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,16000000,1.85
Titan A.E. ,6.6,2000,Matt Damon,PG,94,Don Bluth,22751979,Action|Adventure|Animation|Family|Sci-Fi,75000000,2.35
Digimon: The Movie ,5.9,2000,Lara Jill Miller,PG,82,Mamoru Hosoda,9628751,Action|Adventure|Animation|Family|Sci-Fi,5000000,1.85
Steamboy ,6.9,2004,William Hootkins,PG-13,103,Katsuhiro Ôtomo,410388,Action|Adventure|Animation|Family|Sci-Fi|Thriller,2127519898,1.85
Beowulf ,6.3,2007,Robin Wright,PG-13,115,Robert Zemeckis,82161969,Action|Adventure|Animation|Fantasy,150000000,2.35
Final Fantasy: The Spirits Within ,6.4,2001,Steve Buscemi,PG-13,106,Hironobu Sakaguchi,32131830,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,137000000,1.85
Spartacus: War of the Damned             ,8.6,,Peter Mensah,TV-MA,55,,,Action|Adventure|Biography|Drama|History,,16
Alexander ,5.5,2004,Anthony Hopkins,R,206,Oliver Stone,34293771,Action|Adventure|Biography|Drama|History|Romance|War,155000000,2.35
In the Heart of the Sea ,7,2015,Chris Hemsworth,PG-13,122,Ron Howard,24985612,Action|Adventure|Biography|Drama|History|Thriller,100000000,1.85
Around the World in 80 Days ,5.8,2004,Jim Broadbent,PG,120,Frank Coraci,24004159,Action|Adventure|Comedy,110000000,2.35
Cutthroat Island ,5.6,1995,Christopher Masterson,PG-13,124,Renny Harlin,11000000,Action|Adventure|Comedy,98000000,2.35
Get Smart ,6.5,2008,Bill Murray,PG-13,110,Peter Segal,130313314,Action|Adventure|Comedy,80000000,1.85
The Man from U.N.C.L.E. ,7.3,2015,Henry Cavill,PG-13,116,Guy Ritchie,45434443,Action|Adventure|Comedy,75000000,2.35
Hudson Hawk ,5.7,1991,Bruce Willis,R,100,Michael Lehmann,17218080,Action|Adventure|Comedy,70000000,1.85
Wild Hogs ,5.9,2007,Jill Hennessy,PG-13,100,Walt Becker,168213584,Action|Adventure|Comedy,,2.35
The Dukes of Hazzard ,5.1,2005,Alice Greczyn,PG-13,107,Jay Chandrasekhar,80270227,Action|Adventure|Comedy,50000000,2.35
Shanghai Knights ,6.2,2003,Fann Wong,PG-13,114,David Dobkin,60470220,Action|Adventure|Comedy,50000000,2.35
Johnny English ,6.1,2003,Kevin McNally,PG,87,Peter Howitt,27972410,Action|Adventure|Comedy,35000000,1.85
Crocodile Dundee II ,5.5,1988,Paul Hogan,PG,108,John Cornell,109306210,Action|Adventure|Comedy,15800000,2.35
Around the World in 80 Days ,5.8,2004,Jim Broadbent,PG,120,Frank Coraci,24004159,Action|Adventure|Comedy,110000000,2.35
Silver Medallist ,7.4,2009,Jack Kao,,99,Hao Ning,,Action|Adventure|Comedy,15000000,2.35
Charlie's Angels: Full Throttle ,4.8,2003,Demi Moore,PG-13,107,McG,100685880,Action|Adventure|Comedy|Crime,120000000,2.35
Kangaroo Jack ,4.4,2003,Estella Warren,PG,89,David McNally,66734992,Action|Adventure|Comedy|Crime,60000000,2.35
Johnny English Reborn ,6.3,2011,Daniel Kaluuya,PG,101,Oliver Parker,8129455,Action|Adventure|Comedy|Crime,45000000,2.35
Austin Powers: The Spy Who Shagged Me ,6.6,1999,Muse Watson,PG-13,95,Jay Roach,205399422,Action|Adventure|Comedy|Crime,33000000,2.35
Nothing to Lose ,6.7,1997,Kelly Preston,R,98,Steve Oedekerk,44455658,Action|Adventure|Comedy|Crime,25000000,1.85
"It's a Mad, Mad, Mad, Mad World ",7.6,1963,Jonathan Winters,Approved,197,Stanley Kramer,46300000,Action|Adventure|Comedy|Crime,9400000,2.76
Agent Cody Banks ,5,2003,Daniel Roebuck,PG,102,Harald Zwart,47285499,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,26000000,2.35
The Adventures of Ford Fairlane ,6.3,1990,Lauren Holly,R,104,Renny Harlin,21413502,Action|Adventure|Comedy|Crime|Music|Mystery,40000000,2.35
Now You See Me 2 ,6.9,2016,Daniel Radcliffe,PG-13,129,Jon M. Chu,64685359,Action|Adventure|Comedy|Crime|Mystery|Thriller,90000000,2.35
Charlie's Angels ,5.5,2000,Bill Murray,PG-13,94,McG,125305545,Action|Adventure|Comedy|Crime|Thriller,92000000,2.35
Six-String Samurai ,6.7,1998,Jeffrey Falcon,PG-13,91,Lance Mungia,124494,Action|Adventure|Comedy|Drama|Music|Sci-Fi,2000000,1.85
Chill Factor ,5.2,1999,David Paymer,R,102,Hugh Johnson,11227940,Action|Adventure|Comedy|Drama|Thriller,34000000,2.35
Three Kings ,7.1,1999,Judy Greer,R,114,David O. Russell,60652036,Action|Adventure|Comedy|Drama|War,48000000,2.35
The Crocodile Hunter: Collision Course ,5.4,2002,Steve Irwin,PG,90,John Stainton,28399192,Action|Adventure|Comedy|Family,13000000,2.35
Night at the Museum ,6.4,2006,Robin Williams,PG,108,Shawn Levy,250863268,Action|Adventure|Comedy|Family|Fantasy,110000000,1.85
Men in Black II ,6.1,2002,Will Smith,PG-13,88,Barry Sonnenfeld,190418803,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,140000000,1.85
Men in Black 3 ,6.8,2012,Will Smith,PG-13,106,Barry Sonnenfeld,179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,225000000,1.85
Journey 2: The Mysterious Island ,5.8,2012,Josh Hutcherson,PG,94,Brad Peyton,103812241,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,79000000,1.85
Zathura: A Space Adventure ,6.1,2005,Kristen Stewart,PG,101,Jon Favreau,28045540,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,65000000,1.85
Teenage Mutant Ninja Turtles III ,4.8,1993,Paige Turco,PG,96,Stuart Gillard,42660000,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,17000000,1.85
National Treasure ,6.9,2004,Nicolas Cage,PG,131,Jon Turteltaub,173005002,Action|Adventure|Comedy|Family|Mystery,100000000,2.35
George of the Jungle ,5.4,1997,Brendan Fraser,PG,92,Sam Weisman,105263257,Action|Adventure|Comedy|Family|Romance,55000000,1.85
Agent Cody Banks 2: Destination London ,4.5,2004,Daniel Roebuck,PG,100,Kevin Allen,23222861,Action|Adventure|Comedy|Family|Romance|Sci-Fi,26000000,2.35
Inspector Gadget ,4.1,1999,Matthew Broderick,PG,110,David Kellogg,97360069,Action|Adventure|Comedy|Family|Sci-Fi,75000000,1.85
Thunderbirds ,4.2,2004,Sophia Myles,PG,95,Jonathan Frakes,6768055,Action|Adventure|Comedy|Family|Sci-Fi,57000000,1.85
Spy Kids 3-D: Game Over ,4.1,2003,Sylvester Stallone,PG,84,Robert Rodriguez,111760631,Action|Adventure|Comedy|Family|Sci-Fi,38000000,1.85
Small Soldiers ,6.1,1998,Kirsten Dunst,PG-13,108,Joe Dante,53955614,Action|Adventure|Comedy|Family|Sci-Fi,40000000,2.35
Spy Kids 2: Island of Lost Dreams ,5.1,2002,Steve Buscemi,PG,100,Robert Rodriguez,85570368,Action|Adventure|Comedy|Family|Sci-Fi,38000000,1.85
Spy Kids ,5.4,2001,Alexa PenaVega,PG,88,Robert Rodriguez,112692062,Action|Adventure|Comedy|Family|Sci-Fi,35000000,1.85
Spy Kids: All the Time in the World in 4D ,3.6,2011,Alexa PenaVega,PG,89,Robert Rodriguez,38536376,Action|Adventure|Comedy|Family|Sci-Fi,27000000,1.85
Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,6,1991,Kevin Nash,PG,88,Michael Pressman,78656813,Action|Adventure|Comedy|Family|Sci-Fi,25000000,1.85
Last Action Hero ,6.2,1993,F. Murray Abraham,PG-13,130,John McTiernan,50016394,Action|Adventure|Comedy|Fantasy,70000000,2.35
The Phantom ,4.9,1996,Cary-Hiroyuki Tagawa,PG,100,Simon Wincer,17300889,Action|Adventure|Comedy|Fantasy,45000000,2.35
Big Trouble in Little China ,7.3,1986,Victor Wong,PG-13,99,John Carpenter,11100000,Action|Adventure|Comedy|Fantasy,25000000,2.35
The Golden Child ,5.9,1986,Victor Wong,PG-13,94,Michael Ritchie,79817937,Action|Adventure|Comedy|Fantasy|Mystery,25000000,1.85
George and the Dragon ,5.7,2004,Joan Plowright,PG,93,Tom Reeve,,Action|Adventure|Comedy|Fantasy|Romance,32000000,2.35
The Helix... Loaded ,1.9,2005,Scott Levy,R,97,A. Raven Cruz,,Action|Adventure|Comedy|Fantasy|Sci-Fi,1000000,1.78
The Brothers Grimm ,5.9,2005,Matt Damon,PG-13,118,Terry Gilliam,37899638,Action|Adventure|Comedy|Fantasy|Thriller,88000000,1.85
Ishtar ,4.2,1987,Carol Kane,PG-13,107,Elaine May,14375181,Action|Adventure|Comedy|Music|Thriller,51000000,1.85
Pootie Tang ,5.2,2001,Wanda Sykes,PG-13,81,Louis C.K.,3293258,Action|Adventure|Comedy|Musical,3000000,1.85
Six Days Seven Nights ,5.7,1998,Harrison Ford,PG-13,98,Ivan Reitman,74329966,Action|Adventure|Comedy|Romance,70000000,2.35
My Lucky Star ,5.1,2013,Leehom Wang,,114,Dennie Gordon,50000,Action|Adventure|Comedy|Romance,,2.35
Deadpool ,8.1,2016,Ryan Reynolds,R,108,Tim Miller,363024263,Action|Adventure|Comedy|Romance|Sci-Fi,58000000,2.35
Howard the Duck ,4.6,1986,Lea Thompson,PG,110,Willard Huyck,16295774,Action|Adventure|Comedy|Romance|Sci-Fi,35000000,1.85
The Ice Pirates ,5.7,1984,Anjelica Huston,PG,91,Stewart Raffill,,Action|Adventure|Comedy|Romance|Sci-Fi,9000000,1.85
Fool's Gold ,5.6,2008,Matthew McConaughey,PG-13,112,Andy Tennant,70224196,Action|Adventure|Comedy|Romance|Thriller,70000000,2.35
The Mask of Zorro ,6.7,1998,Anthony Hopkins,PG-13,136,Martin Campbell,93771072,Action|Adventure|Comedy|Romance|Thriller|Western,65000000,2.35
Suicide Squad ,6.9,2016,Will Smith,PG-13,123,David Ayer,161087183,Action|Adventure|Comedy|Sci-Fi,175000000,2.35
Ant-Man ,7.4,2015,Judy Greer,PG-13,117,Peyton Reed,180191634,Action|Adventure|Comedy|Sci-Fi,130000000,1.85
Teenage Mutant Ninja Turtles ,5.9,2014,Noel Fisher,PG-13,101,Jonathan Liebesman,190871240,Action|Adventure|Comedy|Sci-Fi,125000000,2.35
Teenage Mutant Ninja Turtles: Out of the Shadows ,6.3,2016,Stephen Amell,PG-13,112,Dave Green,81638674,Action|Adventure|Comedy|Sci-Fi,135000000,2.35
Teenage Mutant Ninja Turtles ,5.9,2014,Noel Fisher,PG-13,101,Jonathan Liebesman,190871240,Action|Adventure|Comedy|Sci-Fi,125000000,2.35
Clockstoppers ,5.2,2002,Michael Biehn,PG,94,Jonathan Frakes,36985501,Action|Adventure|Comedy|Sci-Fi|Thriller,26000000,1.85
Sahara ,6,2005,Matthew McConaughey,PG-13,124,Breck Eisner,68642452,Action|Adventure|Comedy|Thriller,130000000,2.35
The Rundown ,6.7,2003,Dwayne Johnson,PG-13,104,Peter Berg,47592825,Action|Adventure|Comedy|Thriller,85000000,2.35
Bad Company ,5.6,2002,Anthony Hopkins,PG-13,116,Joel Schumacher,30157016,Action|Adventure|Comedy|Thriller,70000000,2.35
I Spy ,5.4,2002,Gary Cole,PG-13,97,Betty Thomas,33105600,Action|Adventure|Comedy|Thriller,70000000,1.37
Street Fighter ,3.8,1994,Ming-Na Wen,PG-13,102,Steven E. de Souza,33423521,Action|Adventure|Comedy|Thriller,35000000,2.35
Shanghai Noon ,6.6,2000,Xander Berkeley,PG-13,110,Tom Dey,56932305,Action|Adventure|Comedy|Western,55000000,2.35
"The Good, the Bad, the Weird ",7.3,2008,Kang-ho Song,R,135,Jee-woon Kim,128486,Action|Adventure|Comedy|Western,10000000,2.35
The A-Team             ,7.6,,George Peppard,TV-PG,60,,,Action|Adventure|Crime,,4
Chicago Overcoat ,6.2,2009,Mike Starr,R,94,Brian Caunter,,Action|Adventure|Crime|Drama,3000000,1.78
Reindeer Games ,5.7,2000,Charlize Theron,R,124,John Frankenheimer,23360779,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,34000000,2.35
The Fugitive ,7.8,1993,Harrison Ford,PG-13,130,Andrew Davis,183875760,Action|Adventure|Crime|Drama|Mystery|Thriller,44000000,1.85
Fled ,5.3,1996,Salma Hayek,R,105,Kevin Hooks,17100000,Action|Adventure|Crime|Drama|Romance,25000000,1.85
Daredevil             ,8.8,,Elden Henson,TV-MA,54,,,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,,16
Snakes on a Plane ,5.6,2006,Lin Shaye,R,105,David R. Ellis,34014398,Action|Adventure|Crime|Drama|Thriller,33000000,2.35
Snakes on a Plane ,5.6,2006,Lin Shaye,R,105,David R. Ellis,34014398,Action|Adventure|Crime|Drama|Thriller,33000000,2.35
The Shadow ,6,1994,Jonathan Winters,PG-13,93,Russell Mulcahy,32055248,Action|Adventure|Crime|Fantasy|Mystery|Thriller,25000000,1.85
Sherlock Holmes: A Game of Shadows ,7.5,2011,Robert Downey Jr.,PG-13,129,Guy Ritchie,186830669,Action|Adventure|Crime|Mystery|Thriller,125000000,2.35
Sherlock Holmes ,7.6,2009,Robert Downey Jr.,PG-13,128,Guy Ritchie,209019489,Action|Adventure|Crime|Mystery|Thriller,90000000,1.85
S.W.A.T. ,6,2003,Jeremy Renner,PG-13,117,Clark Johnson,116643346,Action|Adventure|Crime|Thriller,80000000,2.35
The Jackal ,6.3,1997,J.K. Simmons,R,124,Michael Caton-Jones,54910560,Action|Adventure|Crime|Thriller,60000000,2.35
xXx: State of the Union ,4.3,2005,Sunny Mabrey,PG-13,101,Lee Tamahori,26082914,Action|Adventure|Crime|Thriller,87000000,2.35
Ronin ,7.3,1998,Robert De Niro,R,122,John Frankenheimer,41609593,Action|Adventure|Crime|Thriller,55000000,2.35
Into the Blue ,5.8,2005,Paul Walker,PG-13,110,John Stockwell,18472363,Action|Adventure|Crime|Thriller,50000000,2.35
The River Wild ,6.3,1994,Meryl Streep,PG-13,111,Curtis Hanson,46815748,Action|Adventure|Crime|Thriller,45000000,2.35
The Art of War ,5.7,2000,Michael Biehn,R,116,Christian Duguay,30199105,Action|Adventure|Crime|Thriller,40000000,2.35
Speed ,7.2,1994,Keanu Reeves,R,116,Jan de Bont,121248145,Action|Adventure|Crime|Thriller,25000000,2.35
A Lonely Place to Die ,6.3,2011,Ed Speleers,R,99,Julian Gilbey,,Action|Adventure|Crime|Thriller,4000000,2.35
Exodus: Gods and Kings ,6.1,2014,Christian Bale,PG-13,150,Ridley Scott,65007045,Action|Adventure|Drama,140000000,2.35
Noah ,5.8,2014,Anthony Hopkins,PG-13,138,Darren Aronofsky,101160529,Action|Adventure|Drama,125000000,1.85
First Blood ,7.7,1982,Sylvester Stallone,R,93,Ted Kotcheff,,Action|Adventure|Drama,14000000,2.35
First Blood ,7.7,1982,Sylvester Stallone,R,93,Ted Kotcheff,,Action|Adventure|Drama,14000000,2.35
All Is Lost ,6.9,2013,Robert Redford,PG-13,106,J.C. Chandor,6262942,Action|Adventure|Drama,9000000,2.35
Exodus: Gods and Kings ,6.1,2014,Christian Bale,PG-13,150,Ridley Scott,65007045,Action|Adventure|Drama,140000000,2.35
Seven Samurai ,8.7,1954,Takashi Shimura,Unrated,202,Akira Kurosawa,269061,Action|Adventure|Drama,2000000,1.37
The Young and Prodigious T.S. Spivet ,7.1,2013,Callum Rennie,PG,105,Jean-Pierre Jeunet,99462,Action|Adventure|Drama|Family,33000000,2.35
Snow White and the Huntsman ,6.1,2012,Chris Hemsworth,PG-13,132,Rupert Sanders,155111815,Action|Adventure|Drama|Fantasy,170000000,2.35
47 Ronin ,6.3,2013,Keanu Reeves,PG-13,128,Carl Rinsch,38297305,Action|Adventure|Drama|Fantasy,175000000,2.35
The Huntsman: Winter's War ,6.1,2016,Chris Hemsworth,PG-13,120,Cedric Nicolas-Troyan,47952020,Action|Adventure|Drama|Fantasy,115000000,2.35
The Lord of the Rings: The Fellowship of the Ring ,8.8,2001,Christopher Lee,PG-13,171,Peter Jackson,313837577,Action|Adventure|Drama|Fantasy,93000000,2.35
The Lord of the Rings: The Return of the King ,8.9,2003,Orlando Bloom,PG-13,192,Peter Jackson,377019252,Action|Adventure|Drama|Fantasy,94000000,2.35
The Lord of the Rings: The Two Towers ,8.7,2002,Christopher Lee,PG-13,172,Peter Jackson,340478898,Action|Adventure|Drama|Fantasy,94000000,2.35
Stargate: The Ark of Truth ,7.4,2008,Ben Browder,,97,Robert C. Cooper,,Action|Adventure|Drama|Fantasy|Sci-Fi,,1.78
Baahubali: The Beginning ,8.4,2015,Tamannaah Bhatia,,159,S.S. Rajamouli,6498000,Action|Adventure|Drama|Fantasy|War,18026148,1.85
Robin Hood ,6.7,2010,Mark Addy,PG-13,156,Ridley Scott,105219735,Action|Adventure|Drama|History,200000000,2.35
Dragon Blade ,6.1,2015,Si Won Choi,R,103,Daniel Lee,72413,Action|Adventure|Drama|History,65000000,2.35
Pompeii ,5.6,2014,Sasha Roiz,PG-13,105,Paul W.S. Anderson,23219748,Action|Adventure|Drama|History|Romance,80000000,2.35
Rapa Nui ,6.4,1994,Esai Morales,R,107,Kevin Reynolds,305070,Action|Adventure|Drama|History|Romance,20000000,2.35
The Bounty ,7,1984,Liam Neeson,PG,132,Roger Donaldson,8600000,Action|Adventure|Drama|History|Romance,25000000,2.35
Flyboys ,6.6,2006,James Franco,PG-13,140,Tony Bill,13082288,Action|Adventure|Drama|History|Romance|War,60000000,2.35
Centurion ,6.4,2010,Michael Fassbender,R,97,Neil Marshall,122288,Action|Adventure|Drama|History|Thriller|War,,2.35
Master and Commander: The Far Side of the World ,7.4,2003,James D'Arcy,PG-13,138,Peter Weir,93926386,Action|Adventure|Drama|History|War,150000000,2.35
Kingdom of Heaven ,7.2,2005,Liam Neeson,R,194,Ridley Scott,47396698,Action|Adventure|Drama|History|War,130000000,2.35
Red Tails ,5.9,2012,David Oyelowo,PG-13,125,Anthony Hemingway,49875589,Action|Adventure|Drama|History|War,58000000,2.35
Red Cliff ,7.4,2008,Takeshi Kaneshiro,R,150,John Woo,626809,Action|Adventure|Drama|History|War,553632000,2.35
1911 ,6,2011,Bingbing Li,R,121,Li Zhang,127437,Action|Adventure|Drama|History|War,18000000,2.35
55 Days at Peking ,6.8,1963,Ava Gardner,Unrated,154,Nicholas Ray,,Action|Adventure|Drama|History|War,9000000,2.2
The Legend of Suriyothai ,6.6,2001,Sarunyu Wongkrachang,R,300,Chatrichalerm Yukol,454255,Action|Adventure|Drama|History|War,400000000,1.85
Godzilla Resurgence ,8.2,2016,Mark Chinnery,,120,Hideaki Anno,,Action|Adventure|Drama|Horror|Sci-Fi,,2.35
Godzilla Resurgence ,8.2,2016,Mark Chinnery,,120,Hideaki Anno,,Action|Adventure|Drama|Horror|Sci-Fi,,2.35
Risen ,6.3,2016,Peter Firth,PG-13,107,Kevin Reynolds,36874745,Action|Adventure|Drama|Mystery,20000000,2.35
King Kong ,7.2,2005,Naomi Watts,PG-13,201,Peter Jackson,218051260,Action|Adventure|Drama|Romance,207000000,2.35
The Legend of Tarzan ,6.6,2016,Christoph Waltz,PG-13,110,David Yates,124051759,Action|Adventure|Drama|Romance,180000000,2.35
The Legend of Tarzan ,6.6,2016,Christoph Waltz,PG-13,110,David Yates,124051759,Action|Adventure|Drama|Romance,180000000,2.35
Robin Hood: Prince of Thieves ,6.9,1991,Alan Rickman,PG-13,155,Kevin Reynolds,165500000,Action|Adventure|Drama|Romance,48000000,1.85
King Kong ,7.2,2005,Naomi Watts,PG-13,201,Peter Jackson,218051260,Action|Adventure|Drama|Romance,207000000,2.35
House of Flying Daggers ,7.6,2004,Takeshi Kaneshiro,PG-13,119,Yimou Zhang,11041228,Action|Adventure|Drama|Romance,100000000,2.35
King Kong ,7.2,2005,Naomi Watts,PG-13,201,Peter Jackson,218051260,Action|Adventure|Drama|Romance,207000000,2.35
Superman ,7.3,1978,Marlon Brando,PG,188,Richard Donner,134218018,Action|Adventure|Drama|Romance|Sci-Fi,55000000,2.35
The Count of Monte Cristo ,7.7,2002,Henry Cavill,PG-13,131,Kevin Reynolds,54228104,Action|Adventure|Drama|Romance|Thriller,35000000,1.85
The Last of the Mohicans ,7.8,1992,Wes Studi,R,117,Michael Mann,72455275,Action|Adventure|Drama|Romance|War,40000000,2.35
Arn: The Knight Templar ,6.6,2007,Gustaf Skarsgård,,270,Peter Flinth,,Action|Adventure|Drama|Romance|War,25000000,2.35
Quigley Down Under ,6.8,1990,Alan Rickman,PG-13,119,Simon Wincer,21413105,Action|Adventure|Drama|Romance|Western,20000000,2.35
